SKU,Hero Image,URL,Product Type,MSRP,Title,Decription,Collection,Metal Type1,Metal Type2,Metal Type 3,GemType1,GemType2,GemType3,GemType4
PAC0100_O2WHR_DB000,https://media.pomellato.com/media/catalog/product/P/A/PAC0100_O2WHR_DB000_10.jpg,https://www.pomellato.com/us_en/pomellato-together-ring-pac0100-o2whr-db000?size=19,Ring,4700,Pomellato Together Ring,,Pomellato Together,18k White Gold,,,Diamond,,,
PAB2040_O7000_DBR00,https://media.pomellato.com/media/catalog/product/P/A/PAB2040_O7000_DBR00_10.jpg,https://www.pomellato.com/us_en/sabbia-ring-pab2040-o7000-dbr00?size=18,Ring,3450,Sabbia Ring,,Sabbia,18k Rose Gold,,,Brown Diamond,,,
POB8111_O2WHR_DB000,https://media.pomellato.com/media/catalog/product/P/O/POB8111_O2WHR_DB000_10.jpg,https://www.pomellato.com/us_en/pomellato-together-earrings-pob8111-o2whr-db000?size=152,Earrings,4800,Pomellato Together Earrings,,Pomellato Together,18k White Gold,,,Diamond,,,
PAC2026_O6WHR_DB000,https://media.pomellato.com/media/catalog/product/P/A/PAC2026_O6WHR_DB000_10.jpg,https://www.pomellato.com/us_en/nudo-assoluto-ring-pac2026-o6whr-db000?size=18,Ring,18200,Nudo Assoluto Ring,,Nudo,18k White Gold,18k Rose Gold,,Diamond,,,
PAC2028_O6WHR_DB000,https://media.pomellato.com/media/catalog/product/P/A/PAC2028_O6WHR_DB000_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-pac2028-o6whr-db000?size=19,Ring,9850,Nudo Classic Ring,,Nudo,18k White Gold,18k Rose Gold,,Diamond,,,
PAC2100_FBWHR_GV105,https://media.pomellato.com/media/catalog/product/P/A/PAC2100_FBWHR_GV105_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pac2100-fbwhr-gv105?size=18,Ring,12400,Nudo Petit Ring,,Nudo,18k White Gold,,,Diamond,,,
PBC2027_O2WHR_DB0TB,https://media.pomellato.com/media/catalog/product/P/B/PBC2027_O2WHR_DB0TB_10.jpg,https://www.pomellato.com/us_en/nudo-bracelet-pbc2027-o2whr-db0tb?size=5,Bracelet,13300,Nudo Bracelet,,Nudo,18k White Gold,,,Diamond,White Topaz,,
PBC2027_O7000_DBRTB,https://media.pomellato.com/media/catalog/product/P/B/PBC2027_O7000_DBRTB_10.jpg,https://www.pomellato.com/us_en/nudo-bracelet-pbc2027-o7000-dbrtb?size=5,Bracelet,10500,Nudo Bracelet,,Nudo,18k Rose Gold,,,Brown Diamond,White Topaz,,
PAC2028_O6000_DBR00,https://media.pomellato.com/media/catalog/product/P/A/PAC2028_O6000_DBR00_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-pac2028-o6000-dbr00?size=19,Ring,8000,Nudo Classic Ring,,Nudo,18k White Gold,18k Rose Gold,,Brown Diamond,,,
PAC2501_O6000_DBR00,https://media.pomellato.com/media/catalog/product/P/A/PAC2501_O6000_DBR00_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pac2501-o6000-dbr00?size=19,Ring,3600,Nudo Petit Ring,,Nudo,18k White Gold,18k Rose Gold,,Brown Diamond,,,
